Genes,Cytoband,Spearman's Correlation,p-Value,q-Value
EPS8,12p12.3,-0.020905491,0.809110344,0.871081752
TTL,2q14.1,-0.020905491,0.809110344,0.871081752
CCNA1,13q13.3,0.02089595,0.809195806,0.871126306
ZNF280C,Xq26.1,-0.020886408,0.809281271,0.871170857
TMEM200B,1p35.3,-0.020855423,0.809558825,0.871422171
NR5A2,1q32.1,-0.02083393,0.809751368,0.871556866
FAM25A,10q23.2,0.020826686,0.809816259,0.871556866
SLC7A13,8q21.3,0.020826686,0.809816259,0.871556866
TECRL,4q13.1,0.020807441,0.809988678,0.87169496
GLRA2,Xp22.2,0.020798199,0.810071483,0.871736603
MYO5C,15q21.2,-0.020748056,0.810520764,0.872158556
MROH9,1q24.3,-0.020744587,0.810551849,0.872158556
TRIML1,4q35.2,-0.020638635,0.811501393,0.872941049
IZUMO4,19p13.3,0.020638353,0.811503924,0.872941049
OSR2,8q22.2,-0.020633558,0.811546907,0.872941049
LDLRAD2,1p36.12,0.020633558,0.811546907,0.872941049
CT45A1,Xq26.3,0.020629072,0.81158711,0.872941049
EVA1A,2p12,0.020628787,0.811589669,0.872941049
STAG3L1,7q11.23,0.020628787,0.811589669,0.872941049
RDH10,8q21.11,-0.020624016,0.811632433,0.872941049
PEG10,7q21.3,-0.020581079,0.812017329,0.873307492
SEMA6D,15q21.1,-0.020552455,0.812273951,0.873535947
ZNF30,19q13.13,-0.020528601,0.812487819,0.8737184
DCDC2,6p22.3,0.020519059,0.812573369,0.873762854
OR4F4,15q26.3,0.020504904,0.812700287,0.873851783
HAO1,20p12.3,-0.020472033,0.812995047,0.874121164
CXADRP2,15q11.2,-0.020432631,0.813348397,0.874453507
NDE1,16p13.11,-0.020423644,0.813428998,0.874465048
TECTB,10q25.2,-0.020421567,0.813447627,0.874465048
NCEH1,3q26.31,0.020409332,0.813557362,0.874535444
PLAAT2,11q12.3,0.020401157,0.813630681,0.874566689
POF1B,Xq21.1,-0.020391874,0.81371394,0.874588485
ABCC6P1,16p12.3,0.020385478,0.813771312,0.874588485
KRT13,17q21.2,0.020384094,0.81378372,0.874588485
H19,11p15.5,0.020371165,0.813899688,0.87466398
VPS16,20p13,0.020366395,0.813942482,0.87466398
PTGR2,14q24.3,-0.020347312,0.81411366,0.874800362
SERPINB5,18q21.33,-0.020333289,0.814239454,0.874887965
CYP11B1,8q24.3,0.020325379,0.814310411,0.874916639
LYPD6B,2q23.2,-0.020315427,0.814399694,0.874964999
IGFL1,19q13.32,-0.020280979,0.814708745,0.875157132
THRA,17q21.1,0.020280521,0.814712855,0.875157132
OR10H5,19p13.12,0.02027671,0.814747047,0.875157132
ANGPTL6,19p13.2,-0.02027575,0.814755658,0.875157132
GGT7,20q11.22,-0.020266209,0.814841267,0.87520152
RHBDL1,16p13.3,0.020247126,0.815012492,0.875326989
RPL29P2,17p13.1,0.020243317,0.815046666,0.875326989
KDM4D,11q21,-0.020237584,0.815098108,0.875334668
AOX2P,2q33.1,-0.02021412,0.815308657,0.875513203
GOT2,16q21,-0.020199418,0.815440592,0.875607303
MAOB,Xp11.3,-0.020185106,0.815569032,0.875697641
CHODL-AS1,21q21.1,0.020139114,0.815981799,0.876093242
LINC02433,4q32.1,-0.020111706,0.816227805,0.876308882
H2AP,Xp11.4,0.020106858,0.816271326,0.876308882
SDF4,1p36.33,0.020094461,0.816382603,0.876380738
SAMD7,3q26.2,0.020072874,0.816576386,0.87654115
YJU2,19p13.3,-0.019989504,0.817324876,0.877296955
PAEP,9q34.3,-0.019972913,0.817473852,0.877317503
C16ORF90,16p13.3,-0.019972402,0.817478437,0.877317503
HAPLN1,5q14.3,0.01996088,0.817581905,0.877317503
ZNF274,19q13.43,-0.01996088,0.817581905,0.877317503
KCNJ16,17q24.3,0.019956109,0.817624746,0.877317503
UNC45A,15q26.1,0.019956109,0.817624746,0.877317503
EREG,4q13.3,0.019952766,0.817654763,0.877317503
KCNJ15,21q22.13-q22.2,-0.019922737,0.817924428,0.8775592
OR2J2,6p22.1,-0.01991088,0.818030917,0.877625808
LINC00938,12q12,-0.019870235,0.818395959,0.877968093
CFAP410,21q22.3,-0.019865464,0.818438809,0.877968093
ARGFX,3q13.33,-0.019839669,0.818670505,0.878148576
RBMS1,2q24.2,0.01983684,0.818695922,0.878148576
OR51B4,11p15.4,-0.019813767,0.818903183,0.878323217
POSTN,13q13.3,0.019808215,0.818953054,0.878329039
LINC00473,6q27,-0.019794036,0.819080432,0.87841756
MAPK10,4q21.3,-0.019789132,0.819124486,0.87841756
FIRRE,Xq26.2,0.019779591,0.819210206,0.878445183
NT5C1B,2p24.2,-0.019773099,0.819268525,0.878445183
PRB4,12p13.2,-0.019771422,0.819283591,0.878445183
PRAMEF12,1p36.21,-0.019758565,0.819399106,0.878521377
HPS6,10q24.32,-0.019750966,0.819467376,0.878546911
EPGN,4q13.3,-0.019735942,0.819602368,0.878643971
MTRR,5p15.31,0.019712823,0.819810089,0.878818984
RIOX1,14q24.3,0.019703258,0.819896037,0.878863447
CKB,14q32.33,-0.019679405,0.820110387,0.879045535
ZNF252P,8q24.3,0.019646009,0.820410499,0.879316057
PAXIP1-AS2,7q36.2,0.019636468,0.820496251,0.879316057
RHBDD3,22q12.2,0.019636468,0.820496251,0.879316057
CATSPERZ,11q13.1,-0.019596734,0.820853364,0.87961699
PSG6,19q13.31,0.019595321,0.82086607,0.87961699
ANXA8L1,10q11.22,-0.019583977,0.820968033,0.879678553
ELF3,1q32.1,-0.019569677,0.821096569,0.879766833
PUM3,9p24.2,-0.019564906,0.821139452,0.879766833
PARVA,11p15.3,-0.019550594,0.821268107,0.879855223
FSTL1,3q13.33,0.019545823,0.821310993,0.879855223
RIPPLY2,6q14.2,0.019539078,0.821371625,0.879872483
KLK1,19q13.33,0.019528326,0.821468284,0.879928331
CYP24A1,20q13.2,0.019515628,0.82158244,0.880002914
CARF,2q33.2,-0.019469491,0.82199724,0.880397723
PCK2,14q11.2-q12,0.01946472,0.822040135,0.880397723
TCIM,8p11.21,0.019445637,0.822211719,0.880505198
RGS22,8q22.2,0.019443649,0.822229593,0.880505198
GUCY1B2,13q14.3,0.019438172,0.822278844,0.880510229
FEZF1,7q31.32,0.019388913,0.822721802,0.880936825
KIF17,1p36.12,0.019378846,0.822812333,0.880986029
ATP6V0C,16p13.3,0.019369305,0.822898143,0.881025379
KRTAP7-1,21q22.11,-0.019364846,0.822938243,0.881025379
UTY,Yq11.221,0.019350587,0.823066485,0.881114942
CCL11,17q12,-0.019299863,0.823522718,0.881555599
ATP6V0D2,8q21.3,-0.019294338,0.823572418,0.881561052
FEM1B,15q23,0.019283431,0.823670529,0.881618321
RAF1,3p25.2,-0.01927389,0.82375636,0.881658812
DEPP1,10q11.21,-0.019264348,0.823842194,0.881658812
PGM3,6q14.1,-0.019264348,0.823842194,0.881658812
FAM24B,10q26.13,0.01924788,0.823990342,0.881769608
MYPOP,19q13.32,-0.019230953,0.824142626,0.881884819
DIPK1C,18q22.3,-0.019221411,0.824228469,0.881928924
SMCO1,3q29,-0.019194765,0.824468211,0.882137689
MCM5,22q12.3,-0.019145079,0.824915285,0.882568253
OR7E5P,11q12.1,0.019139967,0.824961289,0.882569694
NOXA1,9q34.3,-0.019106913,0.825258742,0.88277955
NEURL3,2q11.2,0.019106913,0.825258742,0.88277955
RSPO1,1p34.3,-0.019103278,0.825291452,0.88277955
RHOBTB3,5q15,-0.019097371,0.825344612,0.882788633
LGALS9C,17p11.2,-0.019082557,0.82547794,0.882883457
SERPINA5,14q32.13,-0.019073517,0.825559295,0.882922688
LINC02685,11p11.2,0.019064682,0.825638814,0.88295995
LTB,6p21.33,-0.019040122,0.825859873,0.883148567
VILL,3p22.2,-0.019030581,0.825945757,0.883185154
ESPL1,12q13.13,0.019021039,0.826031643,0.883185154
CFI,4q25,0.019021039,0.826031643,0.883185154
EPB42,15q15.2,0.019011818,0.826114644,0.883185154
KNL1,15q15.1,-0.019011498,0.826117531,0.883185154
MAGEE2,Xq13.3,0.018997412,0.826244327,0.883227334
ADIPOR1,1q32.1,-0.018997185,0.826246367,0.883227334
CYB5D1,17p13.1,-0.018939936,0.826761757,0.883728582
C16ORF89,16p13.3,0.018935165,0.82680471,0.883728582
ADIRF,10q23.2,-0.018920853,0.82693357,0.883818515
HTR3A,11q23.2,-0.018903612,0.827088802,0.883936621
LTC4S,5q35.3,-0.018896999,0.827148348,0.883950566
LINC01144,1p34.1,-0.018892228,0.827191306,0.883950566
TRMT2B,Xq22.1,0.018873145,0.827363139,0.884086387
HABP2,10q25.3,0.018862006,0.827463449,0.884145769
ZNF268,12q24.33,-0.018849292,0.827577943,0.8842203
SCLT1,4q28.2,-0.01883975,0.827663868,0.884252181
RPS6KA1,1p36.11,-0.018834979,0.827706831,0.884252181
OR10C1,6p22.1,-0.018831073,0.82774201,0.884252181
PRR5,22q13.31,0.018820667,0.827835724,0.884304492
ING2,4q35.1,0.018792042,0.828093523,0.884532067
ADIPOR2,12p13.33,-0.018744335,0.82852323,0.88485329
SCARNA22,4p16.3,0.01874148,0.82854894,0.88485329
ATXN3L,Xp22.2,0.018730371,0.828649013,0.88485329
MLLT11,1q21.3,0.018720481,0.828738102,0.88485329
EN1,2q14.2,0.018715732,0.828780877,0.88485329
KIAA0040,1q25.1,0.01871571,0.828781078,0.88485329
KCTD17,22q12.3,-0.018701398,0.828910009,0.88485329
UCN,2p23.3,-0.018696627,0.828952987,0.88485329
CCDC60,12q24.23,-0.018683747,0.829069024,0.88485329
ADAM21,14q24.2,0.018677544,0.829124904,0.88485329
TMEM202,15q23-q24.1,-0.01867064,0.829187105,0.88485329
SPOUT1,9q34.11,0.018658461,0.829296829,0.88485329
ANKRD55,5q11.2,-0.018653712,0.829339611,0.88485329
GDPD2,Xq13.1,0.01865369,0.829339812,0.88485329
OR6F1,1q44,-0.018634404,0.829513581,0.88485329
GRXCR2,5q32,-0.018634404,0.829513581,0.88485329
OR51F2,11p15.4,-0.018634404,0.829513581,0.88485329
OR51S1,11p15.4,-0.018634404,0.829513581,0.88485329
KRTAP21-1,21q22.11,-0.018634404,0.829513581,0.88485329
KRTAP20-2,21q22.11,-0.018634404,0.829513581,0.88485329
SPRR2F,1q21.3,-0.018634404,0.829513581,0.88485329
FTMT,5q23.1,-0.018634404,0.829513581,0.88485329
DUX4L1,4q35.2,-0.018634404,0.829513581,0.88485329
CRYGC,2q33.3,-0.018634404,0.829513581,0.88485329
GNAT3,7q21.11,-0.018634404,0.829513581,0.88485329
FAM157B,9q34.3,-0.0186261,0.829588395,0.884885333
ZNF45,19q13.31,-0.018610753,0.829726678,0.884985068
IL9,5q31.1,0.018601491,0.829810138,0.885026322
CBX1,17q21.32,0.01859167,0.829898631,0.88507294
TNIP2,4p16.3,0.018582129,0.829984611,0.885116871
ARID5A,2q11.2,0.018534421,0.83041454,0.885527575
LINC00426,13q12.3,0.018516049,0.830580118,0.885656355
STAR,8p11.23,-0.018496255,0.830758519,0.885798792
PMS2P9,7q11.23,-0.018489499,0.830819414,0.88581593
NPTX2,7q22.1,-0.01846763,0.831016524,0.885918836
RAET1G,6q25.1,-0.018464115,0.831048212,0.885918836
RAB26,16p13.3,-0.018458089,0.83110253,0.885918836
FAM131B,7q34,-0.018458089,0.83110253,0.885918836
PIK3CD-AS1,1p36.22,0.018452479,0.831153094,0.885918836
PGBD4,15q14,0.018448547,0.831188538,0.885918836
GTF3C5,9q34.13,-0.018439006,0.831274548,0.885918836
STAC,3p22.3-p22.2,-0.018439006,0.831274548,0.885918836
LINC01119,2p21,0.018415152,0.831489581,0.88610022
FUT10,8p12,-0.018393705,0.831682924,0.886258472
APOBEC2,6p21.1,-0.018378213,0.831822593,0.886359514
PHF6,Xq26.2,-0.018353132,0.832048726,0.886548743
TTLL10,1p36.33,0.018345207,0.832120178,0.886548743
SGCG,13q12.12,-0.01834359,0.832134756,0.886548743
OR4C6,11q11,-0.018326231,0.832291276,0.886667699
ANGPTL5,11q22.1,-0.018293661,0.83258497,0.886909449
PCBP1,2p13.3,-0.018291112,0.832607955,0.886909449
ZNF414,19p13.2,-0.018272029,0.832780042,0.887044948
NTS,12q21.31,-0.018263469,0.83285724,0.887079366
CWC25,17q12,-0.018248175,0.832995162,0.887172497
CA11,19q13.33,-0.018238634,0.833081214,0.887172497
RPL3L,16p13.3,-0.018234134,0.833121795,0.887172497
C9ORF43,9q32,0.018233863,0.83312424,0.887172497
ZBTB1,14q23.3,-0.01821478,0.833296351,0.887307963
NECAB1,8q21.3,0.018105052,0.834286143,0.888259328
PARP9,3q21.1,-0.018105052,0.834286143,0.888259328
REXO1L1P,8q21.2,-0.018100785,0.834324642,0.888259328
CA4,17q23.1,-0.018081198,0.83450135,0.8883996
MIMT1,19q13.43,-0.018055411,0.834734011,0.888599421
GNB4,3q26.33,-0.018043032,0.834845706,0.888670456
MAS1L,6p22.1,-0.017995916,0.835270858,0.889075132
TARS1,5p13.3,0.0179667,0.835534511,0.889307871
UBASH3A,21q22.3,0.01796029,0.835592357,0.889321544
NPVF,7p15.3,-0.017935703,0.835814257,0.889483927
ALDH1B1,9p13.1,0.017928534,0.835878961,0.889483927
CEACAM6,19q13.2,-0.017928424,0.835879952,0.889483927
IL23R,1p31.3,-0.017922913,0.835929691,0.889488962
OLAH,10p13,-0.017909258,0.836052939,0.889568281
TMIE,3p21.31,-0.01790468,0.836094258,0.889568281
FCMR,1q32.1,-0.017895139,0.83618038,0.889612018
KLHDC8B,3p21.31,-0.017871285,0.836395694,0.88979319
PRDM13,6q16.2,0.017863715,0.836464022,0.889817982
PRPF40A,2q23.3,-0.017790182,0.837127851,0.890426186
CRYGB,2q33.3,0.017787508,0.837151995,0.890426186
PUS1,12q24.33,0.017785411,0.837170924,0.890426186
PMFBP1,16q22.2,0.017771099,0.837300144,0.8905157
LCN1,9q34.3,-0.017752733,0.837465963,0.890644128
BNIP2,15q22.2,-0.017737703,0.837601675,0.890686228
GPR119,Xq26.1,-0.017732784,0.837646091,0.890686228
MMP2,16q12.2,0.017728162,0.837687831,0.890686228
LINC00628,1q32.1,0.01772411,0.837724414,0.890686228
IL22RA1,1p36.11,-0.017720906,0.837753344,0.890686228
CT45A2,Xq26.3,-0.017718402,0.83777596,0.890686228
MAP3K14-AS1,17q21.31,-0.017694788,0.837989201,0.890865012
IFI44L,1p31.1,0.017680454,0.838118639,0.890902527
CHST9,18q11.2,-0.017675683,0.838161723,0.890902527
MKX,10p12.1,0.017670934,0.838204616,0.890902527
ZNF44,19p13.2,-0.017670913,0.838204807,0.890902527
EVI2A,17q11.2,0.017647059,0.838420234,0.891079322
ERO1B,1q42.3,0.017637517,0.838506408,0.891079322
S100A1,1q21.3,-0.017637517,0.838506408,0.891079322
OR6C1,12q13.2,0.01762982,0.838575929,0.891105285
KIF14,1q32.1,0.017585039,0.8389804,0.8914655
MTCP1,Xq28,0.017575497,0.839066587,0.8914655
HSH2D,19p13.11,0.017575497,0.839066587,0.8914655
IFNE,9p21.3,-0.017572314,0.839095342,0.8914655
ACTB,7p22.1,0.017565956,0.839152776,0.891478595
GSX2,4q12,0.01754252,0.839364475,0.891655565
CD300LF,17q25.1,0.017537331,0.839411353,0.891657434
BLMH,17q11.2,-0.017527811,0.83949736,0.891700867
NLRP2,19q13.42,-0.017494812,0.83979548,0.891954861
FAM216B,13q14.11,0.017491351,0.839826749,0.891954861
METRNL,17q25.3,-0.017460999,0.840100975,0.892198161
CHST8,19q13.11,-0.017437145,0.840316507,0.892379105
KRT39,17q21.2,-0.017415408,0.840512926,0.892539732
SCGB1A1,11q12.3,0.017354046,0.841067449,0.893057407
MAFA,8q24.3,-0.017351462,0.841090802,0.893057407
AFMID,17q25.3,0.01734173,0.841178754,0.89310281
STATH,4q13.3,-0.017320926,0.841366777,0.893254452
MAP7D3,Xq26.3,-0.017294022,0.841609947,0.893464621
PSEN1,14q24.2,-0.01727971,0.841739315,0.89355396
ZNF562,19p13.2,0.017255856,0.841954936,0.893734848
HLA-DOB,6p21.32,-0.017232002,0.84217057,0.893915729
CDH2,18q12.1,-0.017208148,0.842386214,0.894096603
TEX37,2p11.2,0.01719576,0.842498216,0.894167458
AP1M1,19p13.11,-0.017189065,0.842558739,0.894183673
REEP6,19p13.3,-0.017131816,0.843076357,0.894682698
FAM91A1,8q24.13,0.017127045,0.843119495,0.894682698
RAB6A,11q13.4,0.017088879,0.843464614,0.895000868
CPSF2,14q32.12,-0.01703163,0.84398235,0.895449495
IL22,12q15,0.017026447,0.84402923,0.895449495
ZNF525,19q13.42,-0.017022109,0.844068462,0.895449495
PCDHB17P,5q31.3,-0.017022089,0.844068645,0.895449495
PRB1,12p13.2,-0.016963317,0.844600232,0.895965346
TXNRD1,12q23.3,0.016955298,0.844672767,0.895994197
LVRN,5q23.1,0.016931525,0.844887816,0.89612689
SLC39A10,2q32.3,0.016931444,0.844888546,0.89612689
EDNRB,13q22.3,0.016912361,0.845061178,0.896261891
PSMG3-AS1,7p22.3,-0.01690282,0.845147497,0.896305339
SEC23A,14q21.1,-0.016888507,0.845276979,0.896392227
SPDYE3,7q22.1,0.016883736,0.84532014,0.896392227
PDE1C,7p14.3,-0.0168408,0.845708614,0.896753711
CCDC184,12q13.11,-0.016836029,0.84575178,0.896753711
GABRR3,3q11.2,-0.016809059,0.845995812,0.89691842
LINC00326,6q23.2,-0.01680883,0.845997889,0.89691842
ACP5,19p13.2,0.016797863,0.846097125,0.896945392
ARSD,Xp22.33,0.016793092,0.846140295,0.896945392
ZDHHC18,1p36.11,0.016788321,0.846183465,0.896945392
CYP27B1,12q14.1,-0.016785956,0.84620487,0.896945392
TUSC1,9p21.2,0.016764467,0.846399325,0.897103393
CDK13,7p14.1,0.016735843,0.846658372,0.897281714
F12,5q35.3,0.016735843,0.846658372,0.897281714
DMRTA1,9p21.3,-0.016713623,0.84685947,0.897414259
RPL7L1,6p21.1,-0.016711989,0.846874257,0.897414259
DYTN,2q33.3,0.016630843,0.847608743,0.898144421
C17ORF77,17q25.1,0.016605763,0.847835776,0.89829105
ANLN,7p14.2,0.016602261,0.847867473,0.89829105
C2ORF83,2q36.3,0.016594752,0.847935455,0.89829105
ADSS1,14q32.33,0.01659272,0.847953851,0.89829105
OR52D1,11p15.4,-0.016590451,0.847974388,0.89829105
B3GNT8,19q13.2,-0.016568866,0.848169804,0.898445096
RAB42,1p35.3,0.016559324,0.848256189,0.898445096
TRPM3,9q21.12-q21.13,0.016559324,0.848256189,0.898445096
OR5B12,11q12.1,-0.016494102,0.848846731,0.899022398
SNHG12,1p35.3,0.016478221,0.848990528,0.89912651
OR6C65,12q13.2,0.016442121,0.849317439,0.899376336
KRTAP9-8,17q21.2,0.016442121,0.849317439,0.899376336
MARCO,2q14.2,-0.016435677,0.849375797,0.899389942
EFEMP1,2p16.1,0.016425743,0.849465757,0.899437008
HTR1D,1p36.12,0.016411431,0.849595375,0.899523613
ADORA3,1p13.2,0.01640666,0.849638582,0.899523613
HTR3E,3q27.1,-0.016394059,0.849752703,0.899541187
RBM28,7q32.1,-0.016392348,0.849768204,0.899541187
NUDT4,12q22,0.016387577,0.849811413,0.899541187
POLA1,Xp22.11-p21.3,0.016382806,0.849854622,0.899541187
FAM74A3,9q21.11,-0.016379699,0.849882763,0.899541187
GSTM2,1p13.3,-0.016363723,0.850027462,0.8996421
LBX1,10q24.32,0.016358802,0.850072037,0.8996421
FABP12,8q21.13,0.016354095,0.85011467,0.8996421
MAGEA3,Xq28,-0.016333525,0.850300988,0.899791092
GNA12,7p22.3-p22.2,0.016325557,0.850373164,0.899819288
APPBP2,17q23.2,-0.016316015,0.850459594,0.899862563
TIGD5,8q24.3,0.016292162,0.850675677,0.900043011
TMEM266,15q24.2,-0.016277849,0.850805332,0.900081956
ACD,16q22.1,-0.016273079,0.850848551,0.900081956
KCNK16,6p21.2,-0.016273016,0.850849117,0.900081956
ITGA7,12q13.2,-0.016244454,0.851107875,0.900307495
FOLR2,11q13.4,-0.016225371,0.851280767,0.900442186
SLURP1,8q24.3,-0.016185509,0.851641938,0.900752295
CABP4,11q13.2,-0.016182434,0.851669799,0.900752295
SRPK1,6p21.31,0.016177663,0.851713027,0.900752295
HAR1A,20q13.33,-0.016172893,0.851756256,0.900752295
TSPAN19,12q21.31,0.016162634,0.85184921,0.900802393
RFX6,6q22.1,0.016145149,0.85200765,0.900921732
PFKFB4,3p21.31,-0.016082248,0.85257768,0.901476255
RPP38-DT,10p13,0.016072706,0.852664155,0.901519457
LINC00469,17q25.1,-0.016004219,0.853284905,0.902127512
RFX2,19p13.3,-0.015962979,0.853658742,0.902423643
SRY,Yp11.2,-0.015959745,0.853688061,0.902423643
IARS1,9q22.31,0.015958208,0.85370199,0.902423643
CAPS,19p13.3,-0.015900959,0.854221002,0.902867984
C1ORF158,1p36.21,0.015895589,0.85426969,0.902867984
NKX6-3,8p11.21,-0.015893409,0.854289455,0.902867984
MBD3L1,19p13.2,0.015890863,0.854312537,0.902867984
SCPEP1,17q22,-0.015886647,0.854350765,0.902867984
HFM1,1p22.2,0.015872997,0.854474523,0.902932734
DAZ3,Yq11.23,0.015869811,0.854503412,0.902932734
FOXN4,12q24.11,-0.015850885,0.854675017,0.903065781
CCS,11q13.2,0.01584371,0.854740076,0.90308624
CHPF2,7q36.1,0.015829397,0.854869854,0.903171217
LINC00200,10p15.3,0.01582476,0.854911904,0.903171217
DDRGK1,20p13,0.015805544,0.85508616,0.903307023
SLC47A2,17p11.2,0.015772148,0.855389006,0.903578648
GAGE8,Xp11,0.015761707,0.855483698,0.90361336
SCNN1G,16p12.2,0.015758441,0.855513312,0.90361336
EMILIN2,18p11.32-p11.31,-0.015743524,0.855648605,0.903707962
PRR20A,13q21.1,0.01571376,0.855918556,0.903914586
OR1L1,9q33.2,-0.015711867,0.855935716,0.903914586
OR1A2,17p13.3,-0.015676257,0.856258718,0.904207376
ZNF620,3p22.1,-0.01565765,0.856427495,0.904337283
PRR27,4q13.3,0.015638753,0.856598907,0.904423425
ABHD8,19p13.11,0.015638567,0.8566006,0.904423425
SNORA59B,17p11.2,-0.015633353,0.856647902,0.904425048
KCNK15,20q13.12,-0.01562582,0.856716232,0.904448872
ZNF577,19q13.41,0.01559563,0.856990113,0.904689685
XXYLT1,3q29,0.015581318,0.857119958,0.904778428
GTPBP6,Xp22.33 and Yp11.32,0.015495444,0.857899108,0.905547015
ARX,Xp21.3,0.015490673,0.857942398,0.905547015
TKTL1,Xq28,0.015485921,0.857985521,0.905547015
DMRTC1,Xq13.1,-0.015479986,0.858039375,0.905555494
PDZK1IP1,1p33,0.015471664,0.858114893,0.905586834
PKD2L1,10q24.31,0.015455538,0.858261233,0.905622545
AWAT1,Xq13.1,-0.015454462,0.85827099,0.905622545
ZNF853,7p22.1,0.015452507,0.858288735,0.905622545
ZRANB3,2q21.3,-0.015447736,0.858332029,0.905622545
FCGR1CP,1q21.1,-0.015438195,0.858418618,0.905630615
PVALB,22q12.3,0.015436794,0.858431326,0.905630615
TAS2R40,7q34,-0.015406386,0.858707294,0.905873399
NICN1,3p21.31,-0.015385716,0.858894888,0.905971896
CRYBG2,1p36.11,0.015384337,0.858907407,0.905971896
PLIN2,9p22.1,-0.015380946,0.858938188,0.905971896
PCDHB6,5q31.3,0.015361863,0.859111392,0.906106225
DHRS7C,17p13.1,0.015311457,0.859568917,0.906505033
WT1,11p13,0.015310098,0.859581253,0.906505033
DOK2,8p21.3,0.015299843,0.85967435,0.906554835
KCNE4,2q36.1,-0.015252135,0.860107442,0.906963151
SYTL5,Xp11.4,-0.01521874,0.860410632,0.907234451
TIMD4,5q33.3,0.015195497,0.86062166,0.90740855
CUL4A,13q34,0.015180573,0.860757159,0.907503
RHOG,11p15.4,0.015151949,0.861017072,0.907701114
PRG2,11q12.1,0.015149762,0.861036927,0.907701114
TEPP,16q21,0.015144106,0.861088284,0.907706836
PMAIP1,18q21.32,0.015123324,0.861276999,0.907857344
ERRFI1,1p36.23,-0.015113783,0.861363645,0.907897495
CENPC,4q13.2,-0.015109012,0.861406969,0.907897495
CATSPERB,14q32.12,0.015093043,0.861551986,0.908001914
CRYBA2,2q35,0.015077148,0.861696335,0.908105618
PRDM12,9q34.12,0.015047522,0.861965398,0.908297377
FAF2,5q35.2,-0.015046992,0.861970212,0.908297377
RBPMS,8p12,0.015037451,0.862056871,0.908340262
ZNF83,19q13.41,0.015018367,0.862230194,0.908471676
EFCAB12,3q21.3,-0.015013597,0.862273526,0.908471676
CDRT1,17p12,0.014956599,0.862791258,0.908968689
SMARCB1,22q11.23,0.014937264,0.86296689,0.9090484
SLC39A2,14q11.2,-0.014928045,0.863050641,0.9090484
RAB3GAP2,1q41,0.014927723,0.863053568,0.9090484
SERPINB10,18q21.3,-0.014925519,0.863073593,0.9090484
TUBB2A,6p25.2,0.014922952,0.863096908,0.9090484
LYPD4,19q13.2,-0.014852599,0.863736073,0.909673115
CHMP7,8p21.3,0.014813225,0.864093829,0.909998564
DGAT1,8q24.3,-0.014808454,0.864137178,0.909998564
RNASE11,14q11.2,0.014757433,0.864600802,0.910401449
TRIM10,6p22.1,-0.01475354,0.864636175,0.910401449
PRR23A,3q23,-0.014751144,0.864657956,0.910401449
SAA1,11p15.1,-0.014741663,0.864744111,0.910443656
ELOVL3,10q24.32,-0.014731217,0.864839045,0.910483587
CREB1,2q33.3,-0.014727351,0.864874178,0.910483587
TSKU,11q13.5,-0.014708268,0.865047606,0.910611932
RMDN3,15q15.1,0.014703497,0.865090965,0.910611932
RETREG1,5p15.1,0.014698726,0.865134323,0.910611932
ARGLU1,13q33.3,-0.014689185,0.865221041,0.910654708
ALAS1,3p21.2,0.014670102,0.865394483,0.91078317
PPARGC1A,4p15.2,-0.014665331,0.865437844,0.91078317
TMPRSS11F,4q13.2,-0.014660544,0.86548135,0.91078317
RABL2B,22q13.33,-0.014646248,0.865611294,0.910871412
EIF2AK3,2p11.2,0.014622394,0.865828114,0.911051061
NRCAM,7q31.1,0.014612852,0.865914846,0.911093813
PKNOX1,21q22.3,0.014579457,0.866218417,0.911364703
KLRC2,12p13.2,-0.014566699,0.866334393,0.911400566
CYP2B6,19q13.2,-0.014565562,0.866344737,0.911400566
CD19,16p11.2,-0.014543045,0.866549433,0.911527498
C14ORF39,14q23.1,-0.014542142,0.86655764,0.911527498
CHRNA6,8p11.21,-0.014524287,0.86671997,0.911607883
IDO2,8p11.21,-0.014523589,0.866726313,0.911607883
UTP20,12q23.2,-0.014507896,0.866868993,0.91170943
SFTPB,2p11.2,-0.01450206,0.866922053,0.911716716
MAP3K19,2q21.3,0.014492616,0.867007916,0.91174799
RAG2,11p12,-0.014488641,0.867044058,0.91174799
TKFC,11q12.2,0.014479271,0.867129248,0.911789057
CNOT4,7q33,0.014469729,0.867216003,0.911804024
CYP3A4,7q22.1,-0.014463598,0.867271756,0.911804024
UGT2B11,4q13.2,-0.0144608,0.867297198,0.911804024
DPPA5,6q13,-0.014457409,0.86732803,0.911804024
FUT6,19p13.3,-0.01444921,0.86740258,0.911814364
ALPI,2q37.1,-0.014441451,0.86747313,0.911814364
XPOT,12q14.2,0.014441105,0.867476278,0.911814364
KRT37,17q21.2,0.014398973,0.867859399,0.912168553
RBP7,1p36.22,0.014383856,0.867996869,0.912264525
MAK,6p24.2,-0.014369543,0.868127026,0.9123528
C1QC,1p36.12,-0.014360002,0.868213799,0.912395475
DUS2,16q22.1,-0.014331377,0.868474127,0.912620523
UBE2V1,20q13.13,-0.014317065,0.868604297,0.912708779
OR6V1,7q34,-0.014254065,0.869177318,0.913254188
SYCN,19q13.2,-0.014249838,0.86921577,0.913254188
LELP1,1q21.3,-0.014186227,0.869794421,0.913813574
GDF5,20q11.22,-0.014126234,0.870340227,0.914338396
